日期,收盘价,总市值,GDP,近十年分位数,总历史分位数,巴菲特指标
2010-01-03,3535.23,289939.52,348517.7,0.69437,0.69437,0.8319219368198516
2010-01-04,3564.04,287347.46,348517.7,0.68599,0.68599,0.8244845527214256
2010-01-05,3541.73,290512.47,348517.7,0.69836,0.69836,0.8335658992355337
2010-01-06,3471.46,288364.64,348517.7,0.68998,0.68998,0.8274031419351155
2010-01-07,3480.13,283176.69,348517.7,0.67299,0.67299,0.8125173843394468
2010-01-10,3482.05,283956.77,348517.7,0.67759,0.67759,0.8147556637726003
2010-01-11,3534.92,285454.63,348517.7,0.68045,0.68045,0.8190534655772146
2010-01-12,3421.14,290782.06,348517.7,0.70052,0.70052,0.834339432401855
2010-01-13,3469.05,282426.26,348517.7,0.6681,0.6681,0.8103641794950442
2010-01-14,3482.74,286512.78,348517.7,0.68213,0.68213,0.8220896097960018
2010-01-17,3500.68,287514.12,348517.7,0.68755,0.68755,0.8249627493811649
2010-01-18,3507.48,289181.24,348517.7,0.69297,0.69297,0.8297462080118169
2010-01-19,3394.43,289705.21,348517.7,0.69494,0.69494,0.8312496323716128
2010-01-20,3408.57,281123.14,348517.7,0.6601,0.6601,0.806625144146194
2010-01-21,3366.2,282411.76,348517.7,0.66553,0.66553,0.8103225747214561
2010-01-24,3328.01,279370.02,348517.7,0.6547,0.6547,0.8015949261687427
2010-01-25,3242.8,276325.87,348517.7,0.64219,0.64219,0.7928603626157293
2010-01-26,3198.57,269757.76,348517.7,0.62372,0.62372,0.7740145192051939
2010-01-27,3206.57,266644.51,348517.7,0.61807,0.61807,0.7650816873863221
2010-01-28,3204.16,267817.98,348517.7,0.6201,0.6201,0.7684487186733987
2010-01-31,3152.71,267837.47,348517.7,0.62043,0.62043,0.7685046412276908
2010-02-01,3146.19,263656.48,348517.7,0.60714,0.60714,0.756508148653569
2010-02-02,3230.72,263225.87,348517.7,0.60493,0.60493,0.755272601649787
2010-02-03,3218.8,269323.33,348517.7,0.62394,0.62394,0.7727680114955424
2010-02-04,3153.09,268685.98,348517.7,0.62256,0.62256,0.7709392664992337
2010-02-07,3150.99,263743.9,348517.7,0.60763,0.60763,0.7567589823988854
2010-02-08,3169.19,263562.08,348517.7,0.60542,0.60542,0.7562372872310359
2010-02-09,3214.13,264969.63,348517.7,0.61083,0.61083,0.7602759630285635
2010-02-10,3220.4,268278.7,348517.7,0.62299,0.62299,0.7697706601415079
2010-02-11,3251.28,268653.82,348517.7,0.62331,0.62331,0.7708469899807098
2010-02-21,3233.34,272818.45,348517.7,0.63544,0.63544,0.7827965408930451
2010-02-22,3198.63,271609.15,348517.7,0.63322,0.63322,0.7793267027757844
2010-02-23,3244.48,270010.8,348517.7,0.62848,0.62848,0.7747405655437298
2010-02-24,3292.13,274039.39,348517.7,0.63973,0.63973,0.7862997776009655
2010-02-25,3281.67,277811.9,348517.7,0.65349,0.65349,0.7971242206636852
2010-02-28,3324.42,278318.77,348517.7,0.6563,0.6563,0.7985785800835941
2010-03-01,3311.24,281637.59,348517.7,0.66919,0.66919,0.8081012528201581
2010-03-02,3335.08,280591.11,348517.7,0.66107,0.66107,0.8050985932708725
2010-03-03,3250.57,282790.71,348517.7,0.67393,0.67393,0.8114098939594747
2010-03-04,3259.76,275888.34,348517.7,0.63987,0.63987,0.7916049600924143
2010-03-07,3286.18,276761.1,348517.7,0.64519,0.64519,0.794109165761165
2010-03-08,3305.86,278825.31,348517.7,0.65803,0.65803,0.8000319926362419
